,PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,IsAlone,Fare_log1p
PassengerId,1.0,-0.0050066607670665175,-0.03514399403038102,0.03421211199737627,-0.0575268337844415,-0.0016520124027188366,0.012658219287491099,-0.04014293085500627,0.05746189581752633,-0.007425264426683844
Survived,-0.0050066607670665175,1.0,-0.33848103596101514,-0.06491041993052588,-0.035322498885735576,0.08162940708348335,0.2573065223849626,0.016638989282745233,-0.20336708569989173,0.3298621286968072
Pclass,-0.03514399403038102,-0.33848103596101514,1.0,-0.33989832839258594,0.08308136284568686,0.018442671310748508,-0.5494996199439076,0.06599690843099823,0.13520715256449053,-0.6610217748408028
Age,0.03421211199737627,-0.06491041993052588,-0.33989832839258594,1.0,-0.23329633125248891,-0.17248195403694871,0.0966884221803649,-0.24561915380861704,0.17164748798378504,0.11096366124625948
SibSp,-0.0575268337844415,-0.035322498885735576,0.08308136284568686,-0.23329633125248891,1.0,0.41483769862015624,0.159651043242161,0.890711671869885,-0.5844711694024876,0.3185284325635649
Parch,-0.0016520124027188366,0.08162940708348335,0.018442671310748508,-0.17248195403694871,0.41483769862015624,1.0,0.21622494477076448,0.7831107750000581,-0.5833976837814463,0.33218614891311754
Fare,0.012658219287491099,0.2573065223849626,-0.5494996199439076,0.0966884221803649,0.159651043242161,0.21622494477076448,1.0,0.21713840705243376,-0.27183235810610834,0.7875432900663079
FamilySize,-0.04014293085500627,0.016638989282745233,0.06599690843099823,-0.24561915380861704,0.890711671869885,0.7831107750000581,0.21713840705243376,1.0,-0.6909217873610289,0.3836579405251212
IsAlone,0.05746189581752633,-0.20336708569989173,0.13520715256449053,0.17164748798378504,-0.5844711694024876,-0.5833976837814463,-0.27183235810610834,-0.6909217873610289,1.0,-0.4784102057683662
Fare_log1p,-0.007425264426683844,0.3298621286968072,-0.6610217748408028,0.11096366124625948,0.3185284325635649,0.33218614891311754,0.7875432900663079,0.3836579405251212,-0.4784102057683662,1.0
